"seller_id","seller_state","seller_city","total_orders","total_revenue","avg_order_value"
"cca3071e3e9bb7d12640c9fbe2301306","SP","ibitinga","699","6303516","7715.4419"
"04308b1ee57b6625f47df1d56f00eedf","SC","bombinhas","92","5899180","64121.5217"
"522620dcb18a6b31cd7bdf73665113a9","PR","cascavel","172","5669049","31848.5899"
"de722cd6dad950a92b7d4f82673f8833","PE","recife","337","5512630","14622.3607"
"37be5a7c751166fbc5f8ccba4119e043","SP","sao paulo","269","5473555","19689.0468"
"17e34d8224d27a541263c4c64b11a56b","SP","riberao preto","247","5444028","20938.5692"
"7ddcbb64b5bc1ef36ca8c151f6ec77df","SP","sao paulo","325","5443566","16298.1018"
"25c5c91f63607446a97b143d2d535d31","MG","itauna","156","5420878","20379.2406"
"218d46b86c1881d022bce9c68a7d4b15","SP","ribeirao preto","382","5371030","12788.1667"
"ceaec5548eefc6e23e6607c5435102e7","SP","sao paulo","198","5147818","24989.4078"
"f5a590cf36251cf1162ea35bef76fe84","SP","sao bernardo do campo","113","5123278","43417.6102"
"e882b2a25a10b9c057cc49695f222c19","RJ","teresopolis","57","5105754","88030.2414"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f","RJ","nova friburgo","30","5062890","163319.0323"
"f8db351d8c4c4c22c6835c19a46f01b0","SP","salto","659","5008260","7014.3697"
"b2ba3715d723d245138f291a6fe42594","SP","sao paulo","324","4930218","14086.3371"
"17f51e7198701186712e53a39c564617","SP","sao paulo","56","4801900","78719.6721"
"8160255418d5aaa7dbdc9f4c64ebda44","SP","ibitinga","380","4636839","10935.9410"
"966cb4760537b1404caedd472cc610a5","SP","diadema","67","4592826","68549.6418"
"77530e9772f57a62c906e1c21538ab82","PR","curitiba","312","4567660","11988.6089"
"4e922959ae960d389249c378d1c939f5","SP","jacarei","412","4533842","10165.5650"
"850f4f8af5ea87287ac68de36e29107f","SP","sao paulo","186","4528537","23709.6178"
"c826c40d7b19f62a09e2d7c5e7295ee2","SP","guarulhos","346","4465304","12233.7096"
"b33e7c55446eabf8fe1a42d037ac7d6d","SP","pradopolis","149","4421517","29088.9276"
"ba90964cff9b9e0e6f32b23b82465f7b","SP","guarulhos","38","4421250","116348.6842"
"eeb6de78f79159600292e314a77cbd18","SC","lages","82","4351084","52422.6988"
"c3cfdc648177fdbbbb35635a37472c53","PR","curitiba","278","4304818","14022.2085"
"4d6d651bd7684af3fffabd5f08d12e5a","SP","jau","363","4299900","11053.7275"
"b839e41795b7f3ad94cc2014a52f6796","SP","sao caetano do sul","33","4282900","118969.4444"
"e9779976487b77c6d4ac45f75ec7afe9","SP","praia grande","645","4222969","5722.1802"
"17a053fcb14bd219540cbde0df490be0","SP","mogi guacu","124","4035324","27265.7027"
"d91fb3b7d041e83b64a00a3edfb37e4f","SP","praia grande","524","3992639","7605.0267"
"834f3294fba9f932f56edc879193f925","SP","araraquara","66","3990750","60465.9091"
"391fc6631aebcf3004804e51b40bcf1e","SP","ibitinga","521","3947530","6524.8430"
"712e6ed8aa4aa1fa65dab41fed5737e4","SC","videira","77","3938500","46335.2941"
"634964b17796e64304cadf1ad3050fb7","RJ","rio de janeiro","265","3911410","12109.6285"
"2eb70248d66e0e3ef83659f71b244378","SP","campinas","187","3899072","19792.2437"
"7142540dd4c91e2237acb7e911c4eba2","SP","penapolis","316","3718194","11335.9573"
"7178f9f4dd81dcef02f62acdf8151e01","SC","videira","202","3679540","17114.1395"
"ea8482cd71df3c1969d7b9473ff13abc","SP","sao paulo","1132","3669676","3088.9529"
"59417c56835dd8e2e72f91f809cd4092","SP","limeira","18","3645900","202550.0000"
"c70c1b0d8ca86052f45a432a38b73958","SP","hortolandia","260","3628915","10800.3423"
"06a2c3af7b3aee5d69171b0e14f0ee87","MA","sao luis","389","3609798","8979.5970"
"c3867b4666c7d76867627c2f7fb22e21","SP","guara","228","3466690","14384.6058"
"7299e27ed73d2ad986de7f7c77d919fa","MG","araguari","335","3410744","9527.2179"
"e9bc59e7b60fc3063eb2290deda4cced","PR","maringa","209","3354369","12901.4192"
"1835b56ce799e6a4dc4eddc053f04066","SP","ibitinga","417","3300532","5990.0762"
"5c243662ce92d84573bfaff24c3e3700","SP","sao paulo","98","3286202","32862.0200"
"dbc22125167c298ef99da25668e1011f","MG","borda da mata","394","3282912","7872.6906"
"9c0e69c7bf2619675bbadf47b43f655a","SP","sao jose dos campos","151","3272040","16360.2000"
"2528513dd95219a6013d4d05176e391a","SP","osasco","160","3266020","19674.8193"
"76d5af76d0271110f9af36c92573f765","SP","sao paulo","128","3194460","20609.4194"
"70eea00b476a314817cefde4aad4f89a","SP","itatiba","106","3142475","28057.8125"
"0241d4d5d36f10f80c644447315af0bd","PR","curitiba","238","3139770","12763.2927"
"88460e8ebdecbfecb5f9601833981930","PR","maringa","246","3132040","10440.1333"
"7681ef142fd2c19048da7430856b5588","SP","guarulhos","58","3121181","41068.1711"
"87142160b41353c4e5fca2360caf6f92","RS","porto alegre","305","3109598","9172.8555"
"855668e0971d4dfd7bef1b6a4133b41b","SP","itatiba","300","3084922","9919.3633"
"e59aa562b9f8076dd550fcddf0e73491","PR","curitiba","69","3071630","37458.9024"
"70a12e78e608ac31179aea7f8422044b","SP","jacarei","312","2996353","9276.6347"
"53e4c6e0f4312d4d2107a8c9cddf45cd","SP","pedreira","463","2958777","5778.8613"
"d23019c84ffae2d5ef2270367b8605fc","PR","londrina","39","2920510","74884.8718"
"1554a68530182680ad5c8b042c3ab563","MG","monte siao","246","2897964","10853.7978"
"900ba814c251a692506d7834c1218441","SP","salto","86","2883303","33526.7791"
"0b90b6df587eb83608a64ea8b390cf07","PR","maringa","163","2849276","13632.8995"
"59b22a78efb79a4797979612b885db36","MG","uberlandia","125","2718450","20439.4737"
"d1c281d3ae149232351cd8c8cc885f0d","SP","ibitinga","214","2683361","11227.4519"
"b32be1695eb7ec5f10f72d9610a12527","RS","caxias do sul","44","2657500","59055.5556"
"12b9676b00f60f3b700e83af21824c0e","RS","montenegro","133","2637600","19831.5789"
"a3a38f4affed601eb87a97788c949667","SC","joinville","251","2629462","10113.3154"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d","SP","franca","155","2616953","15484.9290"
"de23c3b98a88888289c6f5cc1209054a","SP","sao paulo","161","2593367","14569.4775"
"9f505651f4a6abe901a56cdc21508025","SP","sao paulo","393","2591284","6082.8263"
"16090f2ca825584b5a147ab24aa30c86","SP","atibaia","398","2557916","6300.2857"
"b94cc9f10ddc85e4ba73a6f7974e7101","RJ","macae","39","2534610","64990.0000"
"a416b6a846a11724393025641d4edd5e","SP","sao paulo","157","2493024","14164.9091"
"c003204e1ab016dfa150abc119207b24","SP","cajamar","195","2490429","12452.1450"
"1c68394e931a64f90ea236c5ea590300","PR","sarandi","142","2483275","14522.0760"
"f62d7bb4a613ec758a03342d46b580b2","MG","vicosa","32","2466500","77078.1250"
"1900267e848ceeba8fa32d80c1a5f5a8","SP","ibitinga","406","2463957","4711.1989"
"001cca7ae9ae17fb1caed9dfb1094831","ES","cariacica","195","2448703","10464.5427"
"b37c4c02bda3161a7546a4e6d222d5b2","SP","sao paulo","4","2407500","160500.0000"
"dc4a0fc896dc34b0d5bfec8438291c80","SP","ibitinga","225","2365598","9775.1983"
"2b3e4a2a3ea8e01938cabda2a3e5cc79","SP","sao paulo","52","2362915","43757.6852"
"40db9e9aa57f7bb151bcda6b0f9bdbb7","PE","recife","12","2316800","193066.6667"
"612170e34b97004b3ba37eae81836b4c","RS","novo hamburgo","107","2306502","20968.2000"
"7b0df942f46435babab05d49b744b2c4","SP","braganca paulista","32","2260063","70626.9688"
"1a3df491d1c4f1589fc2b934ada68bf2","SC","joinville","160","2247240","13141.7544"
"710e3548e02bc1d2831dfc4f1b5b14d4","PR","rolandia","131","2236925","16327.9197"
"744dac408745240a2c2528fb1b6028f3","PR","colombo","78","2232260","26894.6988"
"7ad32824caee82087b3e2e5f33b1bf32","SP","ibitinga","147","2201810","12232.2778"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","SP","sao paulo","20","2194080","109704.0000"
"f45122a9ab94eb4f3f8953578bc0c560","SP","piracicaba","184","2176468","11048.0609"
"897060da8b9a21f655304d50fd935913","SP","ribeirao preto","304","2174051","5264.0460"
"06e5eefc71ec47ae763c5c6f8db7064f","RS","porto alegre","90","2164867","23278.1398"
"b1b3948701c5c72445495bd161b83a4c","SP","sao paulo","14","2151950","153710.7143"
"8444e55c1f13cd5c179851e5ca5ebd00","MG","congonhal","92","2148096","21059.7647"
"05ff92fedb5be47920fea08e501238b9","RS","santo angelo","57","2123598","35393.3000"
"8f2ce03f928b567e3d56181ae20ae952","SP","pirituba","151","2121320","12333.2558"
"59fb871bf6f4522a87ba567b42dafecf","SP","sao paulo","123","2117860","16942.8800"
"d2374cbcbb3ca4ab1086534108cc3ab7","SP","ibitinga","514","2092602","3375.1645"
"00ee68308b45bc5e2660cd833c3f81cc","SP","sao paulo","135","2026000","11779.0698"
"48162d548f5b1b11b9d29d1e01f75a61","SP","piracicaba","66","2010939","22594.8202"
"729f06993dac8e860d4f02d7088ca48a","SP","limeira","94","1988518","17597.5044"
"004c9cd9d87a3c30c522c48c4fc07416","SP","ibitinga","156","1956973","11648.6488"
"bfd27a966d91cfaafdb25d076585f0da","SP","serra negra","114","1922500","16717.3913"
"dc317f341ab0e22f39acbd9dbf9b4a1f","RS","cachoeirinha","55","1898840","32738.6207"
"96493fab2fbb13a14d0c0e8772eef5c3","SP","sao paulo","63","1896900","29639.0625"
"f457c46070d02cadd8a68551231220dd","PR","maringa","195","1879830","8173.1739"
"0dd184061fb0eaa7ca37932c68ab91c5","SP","guarulhos","161","1844692","9557.9896"
"44073f8b7e41514de3b7815dd0237f4f","DF","brasilia","142","1838064","12172.6093"
"d650b663c3b5f6fb392b6326366efa9a","SP","cotia","57","1833590","32168.2456"
"cd68562d3f44870c08922d380acae552","SP","ribeirao preto","122","1811970","14046.2791"
"527801b552d0077ffd170872eb49683b","SP","garca","90","1794280","19503.0435"
"821fb029fc6e495ca4f08a35d51e53a5","SP","sao paulo","24","1785162","71406.4800"
"a888faf2d1baececa6baf9c3d603ee1f","PR","umuarama","53","1756480","32527.4074"
"9de4643a8dbde634fe55621059d92273","SC","joinville","72","1756034","21679.4321"
"c72de06d72748d1a0dfb2125be43ba63","BA","guanambi","21","1752200","79645.4545"
"165fc07beebdcb6190fba8a06db2a449","PR","maringa","50","1748140","27314.6875"
"94144541854e298c2d976cb893b81343","RS","viamao","68","1728628","22745.1053"
"8b321bb669392f5163d04c59e235e066","SP","sao paulo","930","1726294","1717.7055"
"1e8b33f18b4f7598d87f5cbee2282cc2","SP","sao paulo","122","1723356","12398.2446"
"0c8380b62e38e8a1e6adbeba7eb9688c","MG","tres coracoes","180","1722899","7903.2064"
"54a1852d1b8f10312c55e906355666ee","SP","santa barbara d'oeste","198","1705646","8443.7921"
"abe42c5d03695b4257b5c6cbf4e6784e","RJ","rio de janeiro","49","1700000","34693.8776"
"76d64c4aca3a7baf218bf93ef7fa768d","PR","curitiba","64","1691180","24509.8551"
"c3acdfac4e3e97ff87529454fbc03642","SP","sao paulo","12","1678800","139900.0000"
"8ae520247981aa06bc94abddf5f46d34","SC","navegantes","65","1632099","25109.2154"
"41b39e28db005d9731d9d485a83b4c38","SP","santo andre","187","1630675","7312.4439"
"4a3ccda38b2129705f3fb522db62ca31","SP","marilia","64","1616909","22149.4384"
"ef0ace09169ac090589d85746e3e036f","RJ","sao goncalo","128","1610540","11586.6187"
"1f1bb1f0859883505541bdd6606193e5","SP","sao paulo","27","1604084","55313.2414"
"7aa4334be125fcdd2ba64b3180029f14","SP","laranjal paulista","214","1601295","6756.5190"
"fa40cc5b934574b62717c68f3d678b6d","SP","sao paulo","304","1590048","4718.2433"
"86ccac0b835037332a596a33b6949ee1","SC","blumenau","178","1589434","7641.5096"
"4b9750c8ad28220fe6702d4ecb7c898f","SP","limeira","217","1581540","7156.2896"
"d921b68bf747894be13a97ae52b0f386","MG","formiga","77","1564580","20319.2208"
"6061155addc1e54b4cfb51c1c2a32ad8","SP","campinas","28","1563340","47373.9394"
"0adac9fbd9a2b63cccaac4f8756c1ca8","SP","louveira","106","1555760","11610.1493"
"2a5b78b41cd05baeac8df54c6606b92c","MG","formiga","46","1555428","27775.5000"
"c33847515fa6305ce6feb1e818569f13","SC","brusque","114","1551985","12124.8828"
"229c3efbfb0ea2058de4ccdfbc3d784a","MG","belo horizonte","118","1547900","10675.1724"
"e5a38146df062edaf55c38afa99e42dc","SP","sao paulo","120","1527089","12315.2339"
"c847e075301870dd144a116762eaff9a","MG","uberaba","41","1524880","36306.6667"
"85d9eb9ddc5d00ca9336a2219c97bb13","MG","belo horizonte","499","1510724","2950.6328"
"213b25e6f54661939f11710a6fddb871","SP","salto","152","1510595","7950.5000"
"f9244d45189d3a3605499abddeade7d5","SP","sao paulo","20","1508144","75407.2000"
"e2a1ac9bf33e5549a2a4f834e70df2f8","SP","sao paulo","5","1499945","299989.0000"
"2a84855fd20af891be03bc5924d2b453","MG","belo horizonte","155","1498900","9427.0440"
"01fdefa7697d26ad920e9e0346d4bd1b","PR","londrina","128","1480253","11386.5615"
"79ebd9a61bac3eaf882805ed4ecfa12a","PR","cascavel","133","1478309","10559.3500"
"080199a181c46c657dc5aa235411be3b","SP","osasco","79","1450420","17474.9398"
"4c2b230173bb36f9b240f2b8ac11786e","SP","sao paulo","258","1447457","4219.9913"
"a5cba26a62b8b4d0145b68b841e62e7f","PR","campo mourao","53","1443884","26738.5926"
"1b4c3a6f53068f0b6944d2d005c9fc89","SC","sao ludgero","111","1442050","12539.5652"
"5cf13accae3222c70a9cac40818ae839","MG","patos de minas","148","1429330","9221.4839"
"66922902710d126a0e7d26b0e3805106","MG","belo horizonte","150","1426730","9204.7097"
"8e6d7754bc7e0f22c96d255ebda59eba","SP","sao jose dos campos","84","1410738","10935.9535"
"aba1721a889e04decc910aa13b768ef4","SP","sao paulo","83","1410330","15329.6739"
"f08a5b9dd6767129688d001acafc21e5","RS","porto alegre","11","1406963","78164.6111"
"c6bda72e4dbf5c5866b13cb1810c6d03","SP","sao paulo","59","1405938","23829.4576"
"2e90cb1677d35cfe24eef47d441b7c87","SP","sao paulo","127","1389471","10142.1241"
"3b15288545f8928d3e65a8f949a28291","SP","ibitinga","101","1376482","11665.1017"
"b8bc237ba3788b23da09c0f1f3a3288c","SC","itajai","45","1368571","29118.5319"
"d94a40fd42351c259927028d163af842","MG","baependi","100","1367480","12545.6881"
"a6bd7d1ccdac48c6b33b28596b7eb122","PB","mamanguape","15","1366911","91127.4000"
"610f72e407cdd7caaa2f8167b0163fd8","SP","sao paulo","16","1358516","79912.7059"
"ce248b21cb2adc36282ede306b7660e5","SC","jaragua do sul","64","1356019","20861.8308"
"6039e27294dc75811c0d8a39069f52c0","SP","osasco","63","1350080","18244.3243"
"6d66611d7c44cc30ce351abc49a68421","SP","sao paulo","164","1342860","7717.5862"
"34d1ca11b242c0fee2c834ae8d788566","MG","congonhas","40","1342224","32737.1707"
"289cdb325fb7e7f891c38608bf9e0962","SP","belo horizonte","109","1341055","10728.4400"
"a3e9a2c700480d9bb01fba070ba80a0e","SP","ibitinga","129","1337180","9350.9091"
"a673821011d0cec28146ea42f5ab767f","SP","sao paulo","125","1336600","9479.4326"
"240b9776d844d37535668549a396af32","RJ","niteroi","35","1333209","38091.6857"
"1f9ab4708f3056ede07124aad39a2554","SP","tupa","76","1331293","17289.5195"
"8cc6a0e5738e61a87b03c78b2ba9db4b","MG","andradas","23","1327270","55302.9167"
"d05ae8f7a5bd1d2a690a44cd079e4e27","RJ","rio de janeiro","77","1324400","16555.0000"
"0b35c634521043bf4b47e21547b99ab5","PR","teixeira soares","50","1323565","17189.1558"
"669ae81880e08f269a64487cfb287169","SC","rio do sul","161","1313387","7099.3892"
"05f51e13da97139648b8125c31e5f51b","MG","belo horizonte","57","1310031","21833.8500"
"440dd6ab244315c632130ecfb63827b1","SP","votuporanga","91","1308900","14227.1739"
"d50d79cb34e38265a8649c383dcffd48","SP","sao paulo","70","1301242","18589.1714"
"c31eff8334d6b3047ed34bebd4d62c36","SP","salto","120","1299161","10736.8678"
"431af27f296bc6519d890aa5a05fdb11","SP","ribeirao preto","116","1297460","10463.3871"
"6edacfd9f9074789dad6d62ba7950b9c","SP","guarulhos","205","1296640","6002.9630"
"9e6229250fedbe05838fef417b74e7fb","SP","mirandopolis","73","1296230","16834.1558"
"039e6ad9dae79614493083e241147386","SP","sao paulo","5","1292500","258500.0000"
"e24fc9fcd865784fb25705606fe3dfe7","SP","braganca paulista","51","1276800","23214.5455"
"ed4acab38528488b65a9a9c603ff024a","SP","sao paulo","32","1275945","31898.6250"
"00fc707aaaad2d31347cf883cd2dfe10","PR","maringa","103","1268490","9396.2222"
"530ec6109d11eaaf87999465c6afee01","PR","cascavel","94","1268211","12556.5446"
"75d34ebb1bd0bd7dde40dd507b8169c3","BA","salvador","57","1265633","18890.0448"
"99eaacc9e6046db1c82b163c5f84869f","SP","franca","63","1264228","18869.0746"
"b372ee768ed69e46ca8cdbd267aa7a38","SP","sao jose do rio preto","63","1263000","18304.3478"
"cfb1a033743668a192316f3c6d1d2671","SP","votorantim","143","1260954","7044.4358"
"1ca7077d890b907f89be8c954a02686a","SP","santana de parnaiba","108","1247464","9822.5512"
"ad97a199236354e53fcd91a5a913e9a2","SC","brusque","16","1244685","73216.7647"
"ac3508719a1d8f5b7614b798f70af136","RS","canoas","101","1244614","12322.9109"
"2b1a40c1daabc6ca280c4b815c101841","MG","divinopolis","22","1234260","37401.8182"
"d6b1ce66b035a475f00c017792ff9769","SP","salto","92","1227740","11367.9630"
"fbc14c0cf93505ef89f64665ffa4a7b5","SP","serrana","18","1222782","67932.3333"
"6e386f64c84e482f0b9abf960797ee1b","SP","sao paulo","29","1220930","42101.0345"
"056b4ada5bbc2c50cc7842547dda6b51","RJ","queimados","64","1220340","18774.4615"
"c66dccfb3f109511246da627dd5a2498","SP","registro","44","1218255","27687.6136"
"2e1c9f22be269ef4643f826c9e650a52","SP","sao paulo","161","1217024","7287.5689"
"c8b0e2b0a7095e5d8219575d5e7e1181","SP","itaquaquecetuba","84","1217021","14317.8941"
"66e0557ecc2b4dbea057e93f215f68d8","SP","sao paulo","30","1214100","40470.0000"
"87b740daf17b5d1be335a64164ec6842","SP","suzano","11","1209989","109999.0000"
"2138ccb85b11a4ec1e37afbd1c8eda1f","SP","sao paulo","388","1208922","2885.2554"
"7202e2ba20579a9bd1acb29e61fe71f6","SP","franca","51","1208570","22803.2075"
"70c27847eca8195c983ed7e798c56743","RJ","rio de janeiro","77","1207752","12324.0000"
"ff063b022a9a0aab91bad2c9088760b7","SP","santo andre","94","1207650","12579.6875"
"a7f13822ceb966b076af67121f87b063","SP","itaquaquecetuba","73","1201769","14306.7738"
"8b8cfc8305aa441e4239358c9f6f2485","PR","londrina","15","1189200","79280.0000"
"701938c450705b8ae65fc923b70f35c7","SP","s jose do rio preto","74","1187929","10702.0631"
"7901646fdd36a55f564ffaf2dbccaaf7","RJ","rio de janeiro","22","1185708","43915.1111"
"09f952a5f58d2285b0372551ae8f9b01","SP","sao bernardo do campo","50","1182150","21109.8214"
"48436dade18ac8b2bce089ec2a041202","SP","volta redonda","134","1182111","8041.5714"
"adbc26658d6c7b4b6219f9d934598091","PR","curitiba","88","1180640","12833.0435"
"72c5da29406b4234927b81855e7b64f6","SP","guarulhos","31","1179869","38060.2903"
"128639473a139ac0f3e5f5ade55873a5","PR","maringa","527","1179585","2129.2148"
"ce7d1888639e6fb06b2749cbfdac1ff7","MG","baependi","78","1179389","14040.3452"
"e8b3a3a38279a82f0e5d006d5e5b7d2c","PR","jussara","80","1176240","13838.1176"
"bba3293d6f5d5af2f415e004e8b93ae3","SP","sao paulo","17","1170210","68835.8824"
"e26901d5ab434ce92fd9b5c256820a4e","SP","maua","197","1160150","5396.0465"
"25e6ffe976bd75618accfe16cefcbd0d","SP","sao paulo","106","1155262","10045.7565"
"c4d51195486dc781531876a7d00453d8","SP","presidente prudente","17","1146898","67464.5882"
"d1b65fc7debc3361ea86b5f14c68d2e2","SP","mogi guacu","39","1141317","28532.9250"
"b4f8921fcc4ff77b66bea6dda43dcd51","RS","caxias do sul","18","1139505","56975.2500"
"0be8ff43f22e456b4e0371b2245e4d01","SP","sao paulo","156","1133600","6477.7143"
"c60b801f2d52c7f7f91de00870882a75","SP","guarulhos","39","1129650","28965.3846"
"5d378b73ab7dd6f0418d743e5dcb0bd1","SP","sao paulo","6","1125400","187566.6667"
"1d8dbc4f32378d715c717c1c1fc57bae","PR","arapongas","91","1120599","11552.5670"
"6cd68b3ed6d59aaa9fece558ad360c0a","MG","belo horizonte","149","1118857","7126.4777"
"cab85505710c7cb9b720bceb52b01cee","SP","sao paulo","201","1112460","5453.2353"
"80e6699fe29150b372a0c8a1ebf7dcc8","PR","pinhais","96","1111966","11346.5918"
"ccb83a794700270fde70898fe9ff368b","SC","sombrio","12","1106200","92183.3333"
"5a8e7d5003a1f221f9e1d6e411de7c23","SP","campinas","137","1104210","6168.7709"
"8d956fec2e4337affcb520f56fd8cbfd","SP","sao bernardo do campo","210","1098820","4840.6167"
"95e03ca3d4146e4011985981aeb959b9","RJ","rio de janeiro","172","1086516","5718.5053"
"7ea5bfa6c340f58f8e71fc1f0412b0d6","MG","belo horizonte","96","1083841","10625.8922"
"813348c996469b40f2e028d5429d3495","SP","jundiai","172","1081353","5545.4000"
"82e0a475a88cc9595229d8029273f045","SP","sao paulo","41","1074802","13605.0886"
"23d7c96d4a1160db1c726b248601b25a","SP","capivari","50","1065824","20496.6154"
"c9c7905cffc4ef9ff9f113554423e671","SP","itapecerica da serra","127","1065718","7667.0360"
"dd2bdf855a9172734fbc3744021ae9b9","MG","belo horizonte","105","1060700","9642.7273"
"0ea22c1cfbdc755f86b9b54b39c16043","MG","sete lagoas","234","1059210","3997.0189"
"c864036feaab8c1659f65ea4faebe1da","PR","campo largo","58","1045420","18024.4828"
"6973a06f484aacf400ece213dbf3d946","SP","sao jose dos campos","89","1041872","9646.9630"
"54965bbe3e4f07ae045b90b0b8541f52","PR","foz do iguacu","73","1035170","12779.8765"
"ea566164622c6b439516ab18062c42cd","SP","sao  paulo","50","1030942","19825.8077"
"33a6f4b1e7cdc205511e76ba1b6e0186","SP","guarulhos","105","1029501","8170.6429"
"f262cbc1c910c83959f849465454ddd3","SP","sao paulo","189","1019986","4999.9314"
"1c5e4e49b9079480255b49d50aac1aa9","SP","santos","12","1017311","84775.9167"
"b499c00f28f4b7069ff6550af8c1348a","SP","limeira","147","1016218","5583.6154"
"c510bc1718f0f2961eaa42a23330681a","SP","indaiatuba","12","1014100","84508.3333"
"9d5a9018aee56acb367ba9c3f05d1d6a","GO","aparecida de goiania","66","1011998","12974.3333"
"7b1222c3624aa89b9558b50a2594188c","SP","sao jose do rio preto","22","1010352","45925.0909"
"5882820ef11c4c068eea0677a7a879b4","RS","caxias do sul","14","992550","70896.4286"
"0df3984f9dfb3d49ac6366acbd3bbb85","MG","betim","86","989149","11240.3295"
"9d4db00d65d7760644ac0c14edb5fd86","SP","sorocaba","97","984571","9945.1616"
"06532f10282704ef4c69168b914b77be","PR","paincandu","7","982795","122849.3750"
"5343d0649eca2a983820bfe93fc4d17e","SP","santo andre","70","981902","8926.3818"
"f3b80352b986ab4d1057a4b724be19d0","DF","brasilia","86","981510","10785.8242"
"5058e8c1e82653974541e83690655b4a","SP","itaquaquecetuba","62","981283","12743.9351"
"bd23da7354813347129d751591d1a6e2","SP","sao paulo","86","970460","11154.7126"
"17ca9b9e9b9ef8fdb529001b49ebb50f","MG","betim","115","964986","7538.9531"
"e96498ed8daaa3e9c23f7a62da76591c","SP","sao paulo","34","961909","28291.4412"
"e7df4cd29ab5abab70fb0783ddb53987","SP","sao paulo","23","960870","40036.2500"
"cf8ab1616079e2793aa29d524df01bb1","SP","sao paulo","6","959400","159900.0000"
"b2ac621f0d0322434d04a12b078b9369","PR","curitiba","30","957550","31918.3333"
"ef506c96320abeedfb894c34db06f478","SP","sao paulo","316","955650","2878.4639"
"1c129092bf23f28a5930387c980c0dfc","SP","sao paulo","200","952862","4350.9680"
"4830e40640734fc1c52cd21127c341d4","SP","sao paulo","204","949050","4476.6509"
"3db66a856d18a9cba7c9241fc5221c50","MG","ponte nova","94","947830","9771.4433"
"ce27a3cc3c8cc1ea79d11e561e9bebb6","SP","sao paulo","122","946545","6268.5099"
"01cf7e3d21494c41fb86034f2e714fa1","PR","francisco beltrao","59","943956","14522.4000"
"a00824eb9093d40e589b940ec45c4eb0","SP","bofete","3","939997","313332.3333"
"3c487ae8f8d7542beff5788e2e0aea83","DF","gama","30","938570","28441.5152"
"31344c16881c08a8a72c6d2eb29918c1","MG","uba","42","936580","22299.5238"
"05feb94f19d094d4b0f9281f0b1d4c99","SP","mogi das cruzes","6","935300","155883.3333"
"aaed1309374718fdd995ee4c58c9dfcd","SC","timbo","104","934545","8419.3243"
"270297ead4c65a6cd2593960d2af6b21","SP","sao paulo","17","934440","49181.0526"
"81a1104df0f08b59c68aa5b03cfe398e","PR","sao jose dos pinhais","72","932098","12945.8056"
"7b07b3c7487f0ea825fc6df75abd658b","SP","sao paulo","91","925947","9645.2813"
"ca3bd7cd9f149df75950150d010fe4a2","SP","sao paulo","68","925347","6854.4222"
"aafe36600ce604f205b86b5084d3d767","SC","sao jose","129","925140","7062.1374"
